team,league,treated,guests_total,guests_women,empathy_sunni_t0,isis_abuse_violent,friends_t0,friends_t0_new,edu,church,income,status1,marital,isis_abuse,player_type,birth.year,attend,train_t0,train_t1
c1,league3_wave1,0,NA,NA,NA,0,NA,0,3,5,0,1,0,1,Original,26,1,0,0
c1,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,1,2,0,0,Original,25,0,0,0
c1,league3_wave1,0,NA,NA,NA,1,NA,1,3,5,4,2,0,0,Extra,20,0,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,1,Extra,18,0,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,0,4,1,0,1,0,1,Extra,26,1,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,1,1,0,0,Extra,21,1,0,0
c1,league3_wave1,0,NA,NA,NA,1,NA,1,4,3,1,1,0,0,Original,27,0,0,0
c1,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,0,1,0,0,Original,25,0,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,1,2,1,3,2,0,1,Original,21,0,0,0
c1,league3_wave1,0,NA,NA,NA,1,NA,0,3,2,1,1,0,0,Original,21,0,0,0
c1,league3_wave1,0,NA,NA,NA,1,NA,1,2,5,1,2,0,0,Original,25,0,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,1,1,0,0,Original,17,0,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,0,1,0,1,Original,20,0,0,0
c1,league3_wave1,0,NA,NA,NA,0,NA,0,2,1,1,1,0,1,Original,19,1,0,0
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,1,1,0,1,Original,18,0,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,3,1,1,0,1,Original,18,1,0,1
c2,league3_wave1,0,NA,NA,NA,1,NA,1,6,1,0,1,0,0,Extra,26,0,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,1,3,1,1,1,0,0,Extra,20,0,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,1,3,1,1,1,0,1,Extra,19,1,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,2,4,1,1,1,Extra,25,1,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,1,1,0,1,Original,18,0,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,0,3,3,0,1,0,0,Original,18,1,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,1,3,3,0,1,0,1,Original,19,0,0,1
c2,league3_wave1,0,NA,NA,NA,1,NA,1,3,5,1,2,0,0,Original,20,0,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,0,Original,20,1,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,0,Original,17,0,0,1
c2,league3_wave1,0,NA,NA,NA,1,NA,1,4,1,1,1,0,0,Original,17,0,0,1
c2,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,0,Original,18,1,0,1
c3,league3_wave1,0,NA,NA,NA,1,NA,1,6,2,3,2,1,0,Original,30,1,0,0
c3,league3_wave1,0,NA,NA,NA,0,NA,1,6,1,0,2,1,0,Original,28,0,0,0
c3,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,4,2,0,0,Extra,23,1,0,0
c3,league3_wave1,0,NA,NA,NA,0,NA,1,6,5,0,1,0,1,Extra,23,1,0,0
c3,league3_wave1,0,NA,NA,NA,0,NA,0,2,1,0,0,0,1,Extra,23,0,0,0
c3,league3_wave1,0,NA,NA,NA,1,NA,1,3,2,0,1,0,0,Extra,23,1,0,0
c3,league3_wave1,0,NA,NA,NA,0,NA,0,6,5,1,1,0,1,Original,22,0,0,0
